ListingCreationDate,Term,LoanStatus,BorrowerAPR,LenderYield,BorrowerRate,ProsperRating (Alpha),ProsperScore,EmploymentStatus,Occupation,ListingCategory (numeric),MonthlyLoanPayment,IsBorrowerHomeowner,IncomeRange,TotalProsperLoans,Recommendations,Investors,LoanOriginalAmount
2013-09-14 18:38:39.097,36,Current,0.24614,0.1985,0.2085,D,4.0,Employed,Executive,2,563.97,True,"$100,000+",1.0,0,20,15000
2013-07-16 12:42:48.680,60,Current,0.30748000000000003,0.2709,0.2809,E,4.0,Full-time,Professional,6,124.76,True,"$75,000-99,999",3.0,0,8,4000
2013-08-21 06:49:02.093,60,Current,0.24754,0.2125,0.2225,D,8.0,Employed,Laborer,1,180.45,False,"$25,000-49,999",1.0,0,1,6500
2010-10-10 13:23:30.757,36,Completed,0.08191,0.0685,0.0785,AA,10.0,Employed,Other,7,500.28,False,"$100,000+",1.0,0,326,16000
2013-05-01 08:18:59.183,36,Current,0.15833,0.1199,0.1299,A,8.0,Employed,Professional,1,505.34,True,"$50,000-74,999",3.0,1,1,15000
2012-08-26 09:43:38.643,60,Current,0.20931,0.1752,0.1852,B,5.0,Employed,Executive,2,462.19,True,"$100,000+",1.0,0,4,18000
2013-07-22 08:03:33.437,60,Current,0.17522000000000001,0.1419,0.1519,B,6.0,Employed,Clergy,1,191.12,False,"$50,000-74,999",1.0,0,82,8000
2013-12-05 11:15:32.567,36,Current,0.16324,0.1174,0.1274,B,8.0,Employed,Analyst,19,67.14,True,"$75,000-99,999",2.0,0,1,2000
2011-03-25 17:20:01.857,12,Completed,0.35843,0.2569,0.2669,E,3.0,Employed,Professional,1,287.6,False,"$50,000-74,999",1.0,0,32,3000
2014-01-25 12:07:54.537,60,Current,0.13635999999999998,0.1039,0.1139,A,11.0,Self-employed,Investor,1,197.44,True,"$25,000-49,999",3.0,0,1,9000
